"year","month","month_id"
2018,1,1
2018,2,2
2018,3,3
2018,4,4
2018,5,5
2018,6,6
2018,7,7
2018,8,8
2018,9,9
2018,10,10
2018,11,11
2018,12,12
2019,1,13
2019,2,14
2019,3,15
2019,4,16
2019,5,17
2019,6,18
2019,7,19
2019,8,20
2019,9,21
2019,10,22
2019,11,23
2019,12,24
2020,1,25
2020,2,26
2020,3,27
2020,4,28
2020,5,29
2020,6,30
2020,7,31
2020,8,32
2020,9,33
2020,10,34
2020,11,35
2020,12,36
2021,1,37
2021,2,38
2021,3,39
2021,4,40
2021,5,41
2021,6,42
2021,7,43
2021,8,44
2021,9,45
2021,10,46
2021,11,47
2021,12,48
