Borough,Date,All_Vehicles,no2
Barking and Dagenham,2018,1391.1153846153845,29.08236238647436
Barking and Dagenham,2019,1117.5595238095239,23.426354026898814
Barking and Dagenham,2020,1975.6666666666667,16.41635828195833
Barking and Dagenham,2021,2298.7651515151515,19.69239613281061
Bexley,2018,1045.9385474860335,22.231078100030718
Bexley,2019,932.014409221902,18.305410824590776
Bexley,2020,1220.0625,14.492015437352277
Bexley,2021,1512.8057142857142,14.291500107537138
City of London,2018,1253.388888888889,73.17568327138889
City of London,2019,940.1071428571429,68.9045052075
City of London,2020,489.45,36.233126516499986
City of London,2021,664.55,34.42198606249999
Croydon,2018,678.4424951267057,49.69892063460038
Croydon,2019,615.4830339321358,34.99124678577442
Croydon,2020,762.1098484848485,34.26809034060606
Croydon,2021,777.7412280701755,40.54114494452193
Ealing,2018,1322.5591397849462,45.30527436715054
Ealing,2019,1424.0977917981072,44.29683482813879
Ealing,2020,2557.4444444444443,33.41529891547222
Ealing,2021,2709.502857142857,40.08771223897142
Enfield,2018,1530.2407407407406,29.243423685154333
Enfield,2019,2272.245901639344,27.016256519877032
Enfield,2020,2477.121794871795,20.68044900023718
Enfield,2021,2782.6009389671362,22.870873959183097
Greenwich,2018,946.2129629629629,27.730539459175922
Greenwich,2019,1099.1698717948718,22.403544749637827
Greenwich,2020,1429.6857142857143,20.300275089057152
Greenwich,2021,1320.3543689320388,16.346133114281553
Hackney,2018,797.3916666666667,49.091119476916674
Hackney,2019,619.4940476190476,53.42128293744045
Hackney,2020,1069.4173913043478,34.296789580782615
Hackney,2021,1077.9583333333333,33.25717302733332
Haringey,2018,635.3522267206478,26.667734661198377
Haringey,2019,543.3603603603603,25.611597423144154
Haringey,2020,489.50714285714287,23.361718085492857
Haringey,2021,499.90909090909093,33.23485388780305
Havering,2018,870.3763440860215,29.508818713470422
Havering,2019,924.2715654952077,32.089712562070304
Havering,2020,1364.2857142857142,21.949107579047624
Havering,2021,1324.1337579617834,22.872691246808916
Islington,2018,589.7607843137255,36.66872732141176
Islington,2019,317.8333333333333,29.69030154921874
Islington,2020,665.2916666666666,22.332236977361106
Islington,2021,841.7870370370371,22.314301700046297
Lambeth,2018,723.4860759493671,55.419720238708884
Lambeth,2019,492.1578947368421,58.25446098070174
Lambeth,2020,696.0052083333334,39.315910786041634
Lambeth,2021,1091.1377245508982,52.483418244730544
Lewisham,2018,819.0734265734266,43.371234366853166
Lewisham,2019,385.81182795698925,38.91246856163977
Lewisham,2020,685.9753694581281,35.48653906641869
Lewisham,2021,752.5578947368421,31.147262394421045
Redbridge,2018,936.8421052631579,37.34181642222369
Redbridge,2019,2001.3090128755364,29.145988922506426
Redbridge,2020,1555.9722222222222,23.318345647777775
Redbridge,2021,2109.9545454545455,29.68296888731061
Southwark,2018,908.3506944444445,32.07630642256253
Southwark,2019,388.2824074074074,27.007838733379625
Southwark,2020,707.8333333333334,22.6514725633816
Southwark,2021,590.25,19.783436122685174
Sutton,2018,541.93,57.34295561356669
Sutton,2019,488.64473684210526,50.11168563860086
Sutton,2020,593.96875,38.45318439916668
Sutton,2021,511.8333333333333,44.91777930559524
Wandsworth,2018,969.5528255528255,53.80139220899266
Wandsworth,2019,788.6761904761905,53.77228243719046
Wandsworth,2020,977.7,39.28041788675
Wandsworth,2021,1729.6802721088436,50.865344191904754
Westminster,2018,892.8229426433916,89.71984919127182
Westminster,2019,1250.2596153846155,78.36050099432698
Westminster,2020,847.8148148148148,29.8432941012963
Westminster,2021,2374.133333333333,46.361447776777794
