Borough,Month,Year,Cars_And_Taxis,Buses_and_Coaches,Motorbikes,HGVs,LGVs,no2
Barking and Dagenham,3,2019,1459.9166666666667,25.5,15.916666666666666,48.916666666666664,313.5833333333333,23.81506613166667
Barking and Dagenham,3,2021,1240.8333333333333,15.416666666666666,20.416666666666668,57.333333333333336,223.16666666666666,16.331165988833334
Barking and Dagenham,4,2019,557.9166666666666,9.944444444444445,7.555555555555555,39.80555555555556,129.97222222222223,35.81834557527777
Barking and Dagenham,4,2021,808.0,27.166666666666668,15.583333333333334,47.916666666666664,150.0,13.430580784
Barking and Dagenham,5,2018,722.125,17.25,8.541666666666666,23.791666666666668,139.20833333333334,33.967140362500004
Barking and Dagenham,5,2019,425.5,11.722222222222221,4.055555555555555,19.88888888888889,76.30555555555556,26.26889922816667
Barking and Dagenham,5,2021,3988.9166666666665,30.75,84.08333333333333,723.9166666666666,1180.8333333333333,19.581173002499998
Barking and Dagenham,6,2018,2334.0416666666665,40.083333333333336,63.916666666666664,426.5416666666667,647.4166666666666,17.533313610000004
Barking and Dagenham,6,2020,1601.0,1.2916666666666667,32.708333333333336,351.125,602.25,11.500473072749996
Barking and Dagenham,6,2021,1628.5555555555557,3.7777777777777777,29.694444444444443,276.94444444444446,466.22222222222223,15.099439155833332
Barking and Dagenham,7,2018,2890.5833333333335,24.625,72.20833333333333,468.7083333333333,788.1666666666666,23.708022249583326
Barking and Dagenham,7,2019,287.55555555555554,0.8333333333333334,6.75,8.694444444444445,57.25,11.660081202555556
Barking and Dagenham,7,2020,2124.9166666666665,13.916666666666666,47.208333333333336,410.75,692.4583333333334,12.989825595958331
Barking and Dagenham,7,2021,2617.4166666666665,18.666666666666668,81.0,416.7083333333333,807.75,10.615651723458333
Barking and Dagenham,9,2018,72.35416666666667,4.604166666666667,0.5,1.1458333333333333,12.125,29.77893768229168
Barking and Dagenham,9,2019,2764.1666666666665,44.125,70.54166666666667,449.875,746.5416666666666,19.73306231
Barking and Dagenham,9,2020,47.833333333333336,0.0,0.5833333333333334,0.75,5.916666666666667,16.889927107666665
Barking and Dagenham,9,2021,51.833333333333336,0.0,0.8333333333333334,0.6666666666666666,6.75,26.92911877583333
Barking and Dagenham,10,2018,99.86111111111111,2.611111111111111,1.0555555555555556,4.25,21.27777777777778,36.17933595027779
Barking and Dagenham,10,2019,284.5416666666667,6.583333333333333,4.125,5.458333333333333,49.416666666666664,21.722893803458334
Barking and Dagenham,10,2020,38.0,0.0,0.8333333333333334,0.5833333333333334,4.25,32.62762524666667
Barking and Dagenham,10,2021,589.375,34.25,16.625,23.833333333333332,92.58333333333333,36.907348997666666
Bexley,3,2018,1541.4705882352941,22.823529411764707,14.882352941176471,144.52941176470588,357.2352941176471,16.867756032588236
Bexley,3,2019,1255.0625,34.354166666666664,18.6875,38.4375,244.47916666666666,21.34175907814583
Bexley,4,2018,1098.375,49.375,8.666666666666666,31.041666666666668,194.41666666666666,16.99070059604166
Bexley,4,2019,708.4444444444445,24.13888888888889,8.5,18.02777777777778,115.91666666666667,29.376679165222217
Bexley,4,2020,1920.2222222222222,5.638888888888889,26.11111111111111,199.66666666666666,705.8888888888889,9.28067647852778
Bexley,4,2021,1680.5416666666667,3.4166666666666665,32.041666666666664,75.41666666666667,407.9166666666667,18.166534950208337
Bexley,5,2018,362.9,6.05,4.8,13.9,74.68333333333334,12.866047553100003
Bexley,5,2019,576.125,16.180555555555557,7.958333333333333,5.166666666666667,99.77777777777777,13.137149721263889
Bexley,5,2020,159.47916666666666,3.3958333333333335,3.125,4.75,33.9375,11.27340845079167
Bexley,5,2021,659.6944444444445,2.0555555555555554,9.86111111111111,19.055555555555557,122.36111111111111,6.721366904416665
Bexley,6,2018,942.9583333333334,29.416666666666668,14.61111111111111,60.22222222222222,196.19444444444446,17.75331789588889
Bexley,6,2019,498.65277777777777,10.597222222222221,5.597222222222222,11.75,107.95833333333333,15.090206923263887
Bexley,6,2020,677.6388888888889,20.5,6.472222222222222,67.30555555555556,152.11111111111111,17.86479096322222
Bexley,6,2021,2513.032258064516,9.03225806451613,45.0,249.29032258064515,702.7096774193549,9.912589208225807
