Borough,Hour,Cars_And_Taxis,Buses_and_Coaches,Motorbikes,HGVs,LGVs,no2
Barking and Dagenham,07:00:00,618.1998631074606,14.344284736481862,28.318275154004105,50.20670773442848,154.52156057494867,28.224311352104706
Barking and Dagenham,08:00:00,617.0588637919234,14.281998631074606,28.188911704312115,49.98562628336756,154.0116358658453,26.73214589128611
Barking and Dagenham,09:00:00,615.3524982888432,14.138945927446954,27.965092402464066,49.59000684462697,153.1533196440794,24.238762143255972
Barking and Dagenham,10:00:00,613.4229979466119,13.890485968514716,27.657084188911703,49.01916495550992,151.96509240246405,20.95380192999655
Barking and Dagenham,11:00:00,612.2053388090349,13.830937713894592,27.543463381245722,48.790554414784395,151.43052703627652,19.955475894008874
Barking and Dagenham,12:00:00,611.9028062970568,13.789869952087612,27.511978097193705,48.75633127994524,151.2943189596167,19.20446692863927
Barking and Dagenham,13:00:00,611.6858316221766,13.737850787132102,27.44079397672827,48.61259411362081,151.04996577686515,19.560648992123156
Barking and Dagenham,14:00:00,611.6235455167694,13.734428473648187,27.4435318275154,48.602327173169066,151.02121834360028,20.030397772641333
Barking and Dagenham,15:00:00,611.9575633127995,13.808350444900753,27.534565366187543,48.76386036960986,151.31895961670088,20.49548867511428
Barking and Dagenham,16:00:00,612.6502395619439,13.878165639972622,27.62422997946612,48.945242984257355,151.67898699520876,22.31792523599792
Barking and Dagenham,17:00:00,612.003422313484,13.746064339493497,27.45722108145106,48.63655030800821,151.16016427104722,24.75588629884666
Barking and Dagenham,18:00:00,610.1471594798084,13.455167693360712,27.07049965776865,47.945242984257355,149.82409308692675,26.226133780162858
City of London,07:00:00,1424.3169062286106,65.83709787816564,41.04380561259411,75.85147159479808,282.9671457905544,54.034659161143814
City of London,08:00:00,1439.5414099931554,66.57768651608487,41.464750171115675,76.65913757700206,285.91649555099247,57.10873655878642
City of London,09:00:00,1473.463381245722,68.20054757015743,42.419575633128,78.51471594798083,292.4483230663929,57.60937637122868
City of London,10:00:00,1522.974674880219,70.59206023271732,43.841889117043124,81.19096509240246,301.9561943874059,55.62454972247167
City of London,11:00:00,1539.4934976043805,71.39151266255989,44.304585900068446,82.09787816563997,305.1622176591376,52.733023357588586
City of London,12:00:00,1542.4661190965091,71.5400410677618,44.39151266255989,82.25256673511294,305.7138945927447,51.29680347809103
City of London,13:00:00,1554.5468856947296,72.11978097193703,44.7460643394935,82.89801505817933,308.0691307323751,50.41656578771525
City of London,14:00:00,1556.3702943189596,72.21149897330595,44.80082135523614,82.99247091033538,308.3791923340178,49.90584548165285
City of London,15:00:00,1538.0321697467489,71.31964407939768,44.27857631759069,81.99452429842573,304.8747433264887,50.02422378650655
City of London,16:00:00,1526.4366872005476,70.76865160848733,43.93497604380561,81.3750855578371,302.63449691991786,50.91807863207951
City of London,17:00:00,1555.1444216290213,72.15947980835044,44.74880219028063,82.93360711841204,308.15537303216973,52.37165487813694
City of London,18:00:00,1618.7953456536618,75.22108145106091,46.5564681724846,86.39630390143738,320.4017796030116,51.907757700609864
Croydon,07:00:00,846.7467488021903,20.88158795345654,33.75564681724846,57.49144421629021,222.72347707049965,40.42591234356392
Croydon,08:00:00,845.3744010951403,20.828884325804243,33.611225188227245,57.09924709103354,222.32032854209444,40.92385648244698
Croydon,09:00:00,850.5906913073237,20.971937029431896,33.794661190965094,57.34907597535934,223.65503080082135,39.19968409158186
Croydon,10:00:00,861.558521560575,21.22450376454483,34.3347022587269,58.158110882956876,226.4873374401095,37.01537176992881
Croydon,11:00:00,863.9917864476386,21.299110198494184,34.446269678302535,58.29637234770705,227.1416837782341,35.90909120963443
Croydon,12:00:00,863.0691307323751,21.269678302532512,34.38261464750171,58.12662559890486,226.87200547570157,35.636463804505794
Croydon,13:00:00,865.895961670089,21.338809034907598,34.510609171800134,58.32375085557837,227.5886379192334,35.84618910730461
Croydon,14:00:00,865.8432580424367,21.3347022587269,34.51745379876797,58.280629705681044,227.58590006844628,36.6261584310972
Croydon,15:00:00,860.1498973305955,21.193018480492814,34.21834360027378,57.78850102669404,226.056810403833,38.563338206038274
Croydon,16:00:00,858.1991786447638,21.128678986995208,34.139630390143736,57.6974674880219,225.57084188911705,40.67939384565645
Croydon,17:00:00,866.3538672142369,21.34428473648186,34.52224503764545,58.33607118412046,227.70225872689937,42.67819637409855
Croydon,18:00:00,885.9815195071868,21.901437371663246,35.548939082819984,60.17180013689254,232.92197125256675,44.03876475362492
Ealing,07:00:00,697.8590006844627,17.15811088295688,31.39425051334702,52.426420260095824,182.6290212183436,50.9484685410788
Ealing,08:00:00,695.3182751540041,17.09240246406571,31.308008213552363,52.078028747433265,181.6776180698152,49.54007183983978
