"Borough","Hour","Date","Cars_And_Taxis","Motorbikes","Buses_and_Coaches","LGVs","HGVs","All_Vehicles"
"Croydon","07:00:00","2018-03-16",16,0,0,7,0,23
"Ealing","07:00:00","2018-03-16",612,18,39,153,19,841
"Greenwich","07:00:00","2018-03-16",23,2,0,0,2,27
"Hillingdon","07:00:00","2018-03-16",25,1,0,4,0,30
"Hounslow","07:00:00","2018-03-16",2034,66,20,577,115,2812
"Lambeth","07:00:00","2018-03-16",673,139,54,424,46,1336
"Newham","07:00:00","2018-03-16",21,0,0,3,1,25
"Southwark","07:00:00","2018-03-16",335,117,20,325,45,842
"Croydon","08:00:00","2018-03-16",32,0,0,4,1,37
"Ealing","08:00:00","2018-03-16",705,14,37,116,14,886
"Greenwich","08:00:00","2018-03-16",47,0,0,1,0,48
"Hillingdon","08:00:00","2018-03-16",45,1,0,10,0,56
"Hounslow","08:00:00","2018-03-16",2101,54,25,396,116,2692
"Lambeth","08:00:00","2018-03-16",682,216,76,364,56,1394
"Newham","08:00:00","2018-03-16",81,3,0,11,1,96
"Southwark","08:00:00","2018-03-16",334,117,20,263,39,773
"Bexley","09:00:00","2018-03-16",4640,55,44,1030,504,6273
"Croydon","09:00:00","2018-03-16",20,0,0,9,0,29
"Ealing","09:00:00","2018-03-16",557,13,42,132,12,756
"Greenwich","09:00:00","2018-03-16",22,0,0,3,0,25
"Hillingdon","09:00:00","2018-03-16",21,0,0,6,0,27
"Hounslow","09:00:00","2018-03-16",2215,52,36,446,149,2898
"Lambeth","09:00:00","2018-03-16",643,107,71,413,43,1277
"Newham","09:00:00","2018-03-16",22,0,0,6,0,28
"Southwark","09:00:00","2018-03-16",413,92,24,288,48,865
"Bexley","10:00:00","2018-03-16",4009,39,23,1004,458,5533
"Croydon","10:00:00","2018-03-16",17,0,0,2,0,19
"Ealing","10:00:00","2018-03-16",550,10,39,149,24,772
"Greenwich","10:00:00","2018-03-16",12,0,0,5,0,17
"Hillingdon","10:00:00","2018-03-16",22,0,0,5,0,27
"Hounslow","10:00:00","2018-03-16",1932,74,31,503,144,2684
"Lambeth","10:00:00","2018-03-16",676,52,55,338,47,1168
"Newham","10:00:00","2018-03-16",21,1,0,6,0,28
"Southwark","10:00:00","2018-03-16",366,69,24,199,62,720
"Bexley","11:00:00","2018-03-16",4160,28,10,1076,478,5752
"Croydon","11:00:00","2018-03-16",17,0,0,1,0,18
"Ealing","11:00:00","2018-03-16",527,8,39,123,15,712
"Greenwich","11:00:00","2018-03-16",5,0,0,2,0,7
"Hillingdon","11:00:00","2018-03-16",22,0,0,6,0,28
